sol,month,min_temp,max_temp
1017,12,-78,-12
1016,12,-76,-11
1015,12,-75,-13
1014,12,-77,-14
1013,12,-80,-12
1012,12,-81,-16
1011,12,-78,-12
1010,12,-74,-11
1009,12,-75,-12
1008,12,-79,-12
1007,12,-79,-12
1006,12,-78,-13
1005,12,-75,-12
1004,12,-74,-9
1003,12,-74,-10
1002,12,-77,-12
1001,12,-79,-12
1000,12,-74,-12
998,12,-73,-8
997,12,-74,-13
996,12,-72,-4
995,12,-74,-4
994,12,-79,-5
993,12,-73,-8
992,12,-73,-6
991,12,-73,-3
990,12,-76,-1
989,12,-74,-10
988,12,-75,-10
987,12,-74,-7
986,12,-74,-1
985,12,-78,-5
984,12,-74,-6
983,12,-76,-6
982,12,-74,-4
981,12,-73,-3
980,12,-73,1
979,12,-79,-4
978,12,-73,-2
977,12,-75,-4
976,12,-75,-6
975,12,-73,-3
974,12,-73,-3
973,12,-72,-4
972,12,-73,-3
971,12,-71,-3
970,12,-71,-4
969,12,-72,-2
968,12,-71,-3
967,12,-74,-2
966,12,-73,-12
965,12,-75,-10
964,12,-72,-13
963,11,-71,-5
962,11,-73,-2
961,11,-71,-3
960,11,-76,-8
959,11,-78,-4
958,11,-74,-9
954,11,-73,-3
953,11,-71,-5
952,11,-69,-6
951,11,-75,-4
950,11,-73,0
949,11,-72,-4
948,11,-73,-8
947,11,-70,-3
946,11,-77,-2
945,11,-72,-1
944,11,-70,0
943,11,-73,-1
942,11,-74,-1
941,11,-74,0
940,11,-73,-2
937,11,-73,0
936,11,-72,-3
935,11,-75,-2
934,11,-73,1
933,11,-71,-4
932,11,-71,1
931,11,-69,-1
930,11,-75,-1
929,11,-75,0
928,11,-72,0
927,11,-76,-2
926,11,-76,1
925,11,-71,-2
924,11,-74,-1
923,11,-72,-5
922,11,-73,-2
921,11,-70,2
920,11,-72,-2
919,11,-74,-3
918,11,-71,0
917,11,-76,-1
916,11,-71,-5
915,11,-71,-4
914,11,-71,0
913,11,-71,-4
912,10,-75,-4
911,10,-70,0
910,10,-73,0
909,10,-70,-2
908,10,-71,-3
907,10,-75,-1
906,10,-76,-3
905,10,-71,-2
904,10,-71,0
903,10,-71,-2
902,10,-68,0
901,10,-71,-2
900,10,-70,1
899,10,-75,-1
898,10,-72,2
897,10,-72,5
896,10,-70,1
895,10,-72,-4
894,10,-75,-4
893,10,-72,2
892,10,-71,-3
891,10,-72,-3
890,10,-72,-4
889,10,-70,2
888,10,-70,-5
887,10,-73,-4
886,10,-73,-6
885,10,-71,-4
884,10,-71,-5
883,10,-74,-4
882,10,-76,-6
881,10,-73,-4
872,10,-72,1
871,10,-70,-7
870,10,-74,-6
869,10,-72,-4
868,10,-71,-4
867,10,-71,-2
866,10,-71,-4
865,10,-70,-5
864,9,-70,-1
863,9,-72,-13
862,9,-70,-2
861,9,-70,-7
860,9,-69,-8
859,9,-72,-8
858,9,-73,-6
857,9,-76,0
856,9,-68,-3
855,9,-69,0
854,9,-66,3
853,9,-67,0
852,9,-73,-3
851,9,-68,-6
850,9,-68,-1
849,9,-69,-1
848,9,-69,-4
847,9,-69,-8
846,9,-74,-7
845,9,-73,0
844,9,-68,5
843,9,-69,1
842,9,-69,-6
841,9,-75,-7
840,9,-74,-4
839,9,-70,-1
838,9,-69,-1
837,9,-69,4
836,9,-69,-1
835,9,-69,-1
834,9,-68,-3
833,9,-69,-1
832,9,-68,-2
831,9,-68,-6
830,9,-68,-1
829,9,-71,-2
828,9,-71,-1
827,9,-68,0
826,9,-68,0
825,9,-67,1
824,9,-67,2
823,9,-69,0
822,9,-71,1
